area_name,description,house_type,m2,price,price_sqm,build_year,floor,has_elevator,condition,own_property,energy_class,fetchedAt
Vuosaari,"2h, kk, s, lasi",kt,"53,50",170000,3178,2002,3/3,on,tyyd.,vuokra,,2024-01-16
Kannelmäki,"2h, k, kph ja l",kt,"60,50",75000,1240,1977,2/4,ei,tyyd.,vuokra,F2013,2024-01-16
Etu-töölö,"2h, k, kph",kt,"63,50",474000,7465,1913,3/5,on,tyyd.,oma,F2013,2024-01-16
Pitäjänmäki,"2 h, k, kph, la",kt,"64,50",234000,3628,1973,3/5,on,tyyd.,oma,E2018,2024-01-16
Vallila,2h + avok. + kp,kt,"37,50",261500,6973,2020,2/12,on,hyvä,,B2018,2024-01-16
Koskela,"2h,kk,kph/s",kt,"40,00",179000,4475,1961,1/2,ei,hyvä,vuokra,F2018,2024-01-16
Laajasalo,"2h, kk, kph, vh",kt,"48,50",151101,3115,1974,2/3,ei,tyyd.,oma,E2007,2024-01-16
Vuosaari,"2h, kk, kph, pa",kt,"51,00",103000,2020,1965,3/8,on,huono,oma,F2013,2024-01-16
Etu-töölö,"2h, avokeitti",kt,"52,00",390000,7500,1922,4/6,on,hyvä,oma,D2018,2024-01-16
Mellunmäki,"2h, avok, sauna",kt,"53,50",195000,3645,2007,2/4,on,hyvä,oma,,2024-01-16
Lauttasaari,"2 h, k, kh, vh,",kt,"54,00",314098,5817,1963,2/4,on,hyvä,oma,C2018,2024-01-16
Munkkiniemi,"2h, avok, kph, ",kt,"75,50",458000,6066,1939,6/6,on,tyyd.,oma,E2018,2024-01-16
Vilhonvuori,2h+avok.+kph+p.,kt,"47,50",265000,5579,1964,2/8,on,tyyd.,oma,F2013,2024-01-16
Roihuvuori,"2h, kk, kph, va",kt,"50,00",197000,3940,1957,3/3,ei,hyvä,vuokra,D2007,2024-01-16
Tapaninkylä,"2h, k, ph/s, piha",rt,"59,50",249000,4185,2007,1/1,ei,hyvä,oma,D2018,2024-01-16
Viikki,"2h, k, kph/s, e",rt,"69,00",306700,4445,2006,1/2,ei,hyvä,oma,D2018,2024-01-16
Kruununhaka,"2h, avok, etein",kt,"43,00",365000,8488,1908,3/5,on,hyvä,oma,F2013,2024-01-16
Kallio,"2h, avok, kph",kt,"34,00",203000,5971,1936,1/6,on,hyvä,oma,E2018,2024-01-16
Käpylä,"2h, kk",kt,"39,00",223000,5718,1946,1/3,ei,hyvä,vuokra,G2013,2024-01-16
Puotila,2h+k+kph,kt,"44,00",175000,3977,1960,3/3,ei,tyyd.,vuokra,,2024-01-16
Vuosaari,"2h, kk",kt,"47,50",185000,3895,2004,5/11,on,hyvä,oma,E2013,2024-01-16
Munkkivuori,"2h, k, kph, p",kt,"50,00",240000,4800,1958,2/4,ei,tyyd.,oma,D2018,2024-01-16
Pihlajisto,"2h,k,kph,p",kt,"51,00",104000,2039,1972,3/7,on,hyvä,oma,E2007,2024-01-16
Kallio,"1-2h, keitti",kt,"51,00",236000,4627,1926,3/6,on,tyyd.,oma,G2013,2024-01-16
Oulunkylä,2h + avok. + kph,kt,"52,00",242500,4663,1962,1/3,ei,hyvä,oma,D2013,2024-01-16
Lauttasaari,"2 h, k, s, lasi",kt,"61,50",488000,7935,2005,5/6,on,hyvä,oma,D2013,2024-01-16
Aurinkolahti,"2h, avok, kph, ",kt,"41,50",185000,4458,2001,1/6,on,hyvä,oma,E2013,2024-01-16
Etu-töölö,2h+avok+kph+eri,kt,"42,50",297000,6988,1935,2/6,on,tyyd.,oma,E2013,2024-01-16
Mellunmäki,"2h,k,kh,sauna,p",kt,"52,50",120000,2286,1987,2/3,ei,tyyd.,vuokra,E2013,2024-01-16
Oulunkylä/veräjämäki,"2 h, k, p (Yj 2",kt,"63,50",216000,3402,1963,3/3,ei,tyyd.,vuokra,E2007,2024-01-16
Taka-töölö,"2h, kt, kph, vh",kt,"71,50",435000,6084,1926,6/6,on,huono,oma,F2013,2024-01-16
Herttoniemenranta,2h+avok+kph+s+v,kt,"46,00",219000,4761,1998,3/5,on,tyyd.,oma,D2007,2024-01-16
Kontula,"2h, avok., kph, p",kt,"48,00",185000,3854,2020,2/8,on,hyvä,oma,B2018,2024-01-16
Kallio,"2h, kk, kph",kt,"44,00",176000,4000,1938,2/6,on,tyyd.,oma,E2007,2024-01-16
Sörnäinen,"1-2h,alkovi,avo",kt,"46,50",178500,3839,1929,1/7,on,tyyd.,oma,F2013,2024-01-16
Herttoniemi,"2h, avok, kph, ",kt,"46,50",210000,4516,1956,2/8,on,hyvä,vuokra,G2013,2024-01-16
Lauttasaari,"2h, k, las.parv",kt,"49,50",235000,4747,1973,1/3,on,tyyd.,oma,F2013,2024-01-16
Munkkiniemi,2h+k+kph+parveke,kt,"51,00",325000,6373,1953,5/6,on,hyvä,oma,E,2024-01-16
Tammisalo,1-2h+kk (yhti,kt,"37,00",176000,4757,1961,2/2,ei,hyvä,oma,E2007,2024-01-16
Käpylä,"2h, kk, kph/wc",kt,"40,00",215000,5375,1944,2/3,ei,hyvä,vuokra,G2013,2024-01-16
Punavuori,"2h, k, aula/kir",kt,"76,00",585000,7697,1931,3/7,on,hyvä,oma,D2018,2024-01-16
Oulunkylä,2h+kk+kph+p,kt,"34,00",207500,6103,2023,4/5,on,hyvä,,B2018,2024-01-16
Alppila,2h+avok.+kph+p.,kt,"39,00",257000,6590,1961,3/4,on,hyvä,oma,F2013,2024-01-16
Alppila,2h+kk+kph+vh+la,kt,"41,00",273000,6659,1962,8/8,on,tyyd.,oma,E2007,2024-01-16
Käpylä,1h+kk+khwc+p,kt,"29,50",173000,5864,1952,1/4,ei,hyvä,vuokra,G2013,2024-01-16
Kruununhaka,"1h, k, kph",kt,"39,30",300000,7634,1927,3/4,on,tyyd.,oma,D,2024-01-16
Kallio,"1h, avokeitti",kt,"40,00",210000,5250,1928,3/6,on,tyyd.,oma,F2007,2024-01-16
Itä-pasila,"1h, kk, kph",kt,"31,50",158000,5016,1976,11/13,on,tyyd.,vuokra,E2018,2024-01-16
Malmi,"1h, kk, kph, sa",kt,"33,00",135000,4091,1986,2/4,ei,hyvä,oma,F2013,2024-01-16
Hietalahti,"1h,kt,kph,parveke",kt,"33,00",329000,9970,2024,3/8,on,,oma,C2018,2024-01-16
Hietalahti,"1h,kt,kph,parveke",kt,"25,00",269000,10760,2024,4/8,on,,oma,C2018,2024-01-16
Vuosaari,"1h, kk, kph, pa",kt,"31,00",115000,3710,1971,6/6,on,tyyd.,oma,G2013,2024-01-16
Puotila,1 h+kk+kph+p,kt,"24,50",130000,5306,1970,2/3,ei,hyvä,oma,F2018,2024-01-16
Lassila,"1h, avok. kph, ",kt,"26,00",114000,4385,1984,1/3,ei,hyvä,oma,F2013,2024-01-16
Kallio,1h+kk+kph,kt,"30,00",96000,3200,1927,5/6,on,tyyd.,oma,E2018,2024-01-16
Alppila,"1h,kk, vh ja kph",kt,"26,00",152000,5846,1962,3/10,on,tyyd.,oma,C2018,2024-01-16
Malmi,"1h, avok, kph, ",kt,"28,00",119000,4250,2020,3/4,on,hyvä,vuokra,B2018,2024-01-16
Munkkivuori,"1h, kk, kph, et",kt,"28,50",189000,6632,1959,5/6,on,hyvä,oma,D2018,2024-01-16
Munkkiniemi,"1h, kk, kph, pa",kt,"33,00",195000,5909,1954,1/4,ei,huono,oma,F2013,2024-01-16
Kallio,1h+k+kph+wc,kt,"37,50",205996,5493,1927,6/7,on,tyyd.,oma,F2013,2024-01-16
Alppila,"1h, k, kph",kt,"27,00",160000,5926,1928,3/4,ei,tyyd.,oma,F2018,2024-01-16
Yliskylä,1h+kk,kt,"29,00",131040,4519,1971,2/5,on,tyyd.,oma,E2018,2024-01-16
Lauttasaari,1h+kk+alkovi+kph,kt,"30,00",210000,7000,1954,1/4,on,hyvä,oma,F2018,2024-01-16
Kallio,1h + avokeitti&,kt,"30,50",198500,6508,1929,3/6,on,tyyd.,oma,E2013,2024-01-16
Oulunkylä,"1 h, kt, kh, p ",kt,"39,00",136000,3487,1983,2/2,ei,tyyd.,oma,D2018,2024-01-16
Alppila,"1h, avokeitti",kt,"42,50",310000,7294,1920,2/7,on,tyyd.,oma,F2013,2024-01-16
Töölö,"huone, kk, kph",kt,"19,00",164000,8632,1933,2/6,on,tyyd.,oma,E2018,2024-01-16
Ullanlinna,"1h, kt, kph",kt,"25,00",208000,8320,1935,5/5,on,tyyd.,oma,E2013,2024-01-16
Pihlajisto,1h+kt,kt,"30,00",170000,5667,2023,,on,hyvä,vuokra,,2024-01-16
Pitäjänmäki,1h+kk,kt,"30,40",89000,2928,1964,1/3,ei,tyyd.,vuokra,E2018,2024-01-16
Kontula,"1h, kk, kph",kt,"31,00",122500,3952,1970,5/8,on,hyvä,oma,G2013,2024-01-16
Pasila,"1h, avok, kph, ",kt,"30,00",240000,8000,2020,2/12,on,hyvä,oma,C2013,2024-01-16
Munkkivuori,1h+kk+kph,kt,"31,50",174000,5524,1958,2/4,ei,hyvä,oma,D2007,2024-01-16
Punavuori,"1h, avok, kph j",kt,"38,00",333000,8763,1875,3/5,ei,hyvä,oma,E2018,2024-01-16
Etu-töölö,"1h, avok, kph",kt,"24,20",215000,8884,1926,2/6,on,tyyd.,oma,F2013,2024-01-16
Kamppi,"1h, kk, kph, pa",kt,"26,00",185000,7115,1981,2/7,on,tyyd.,oma,E2013,2024-01-16
Maunula,"1h, kk, kph",kt,"24,10",95000,3942,1952,1/4,ei,,vuokra,D2018,2024-01-16
Lauttasaari,"1h, k, kph, ete",kt,"31,50",220000,6984,1966,3/5,on,hyvä,oma,F2013,2024-01-16
Suurmetsä,"1h, k, kph",kt,"33,50",68000,2030,1973,1/3,ei,huono,vuokra,F2013,2024-01-16
Alppiharju,1h+k+et+wc+sh,kt,"36,60",260000,7104,1912,4/6,on,hyvä,oma,E2007,2024-01-16
